ISSUE DATE,YEAR,MONTH,TYPE,DESCRIPTION,ADDRESS,VALUATION
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
,1900,January,,,,
